Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions
131808,Photo,1,8,6,6,0,5046,9084,528,477,906,7723,4184,421,2,80,21,103
131808,Status,2,7,5,14,0,15296,25269,2827,2781,3627,22103,13296,2602,9,95,17,121
131728,Photo,3,7,5,8,1,3414,6369,473,342,525,4518,2390,360,3,188,26,217
131728,Photo,1,7,4,10,1,95424,252207,699,575,882,78287,22016,417,6,109,11,126
131728,Photo,2,7,4,3,0,14824,21863,868,591,966,13498,8560,650,64,367,25,456
131630,Photo,2,7,3,13,0,3504,5699,444,374,497,4487,2730,348,9,102,19,130
131630,Photo,3,7,2,23,0,2822,5058,424,351,486,3681,2020,327,2,113,20,135
131630,Photo,3,7,2,13,0,2973,5063,356,297,415,3764,2208,266,0,94,20,114
131630,Status,2,7,2,6,1,10824,20573,135,126,153,20030,10384,126,6,14,1,21
131630,Photo,1,7,1,11,0,4592,6691,320,289,423,3238,2100,222,1,43,10,54
131630,Photo,2,7,1,5,0,3176,5278,372,319,577,3993,2426,279,1,98,21,120
131300,Status,2,7,7,10,0,10956,19279,128,119,130,18838,10564,123,3,13,1,17
131300,Photo,3,7,7,4,0,10888,19744,913,783,1370,14425,8048,722,12,237,45,294
131300,Photo,2,7,6,10,0,3594,6316,424,354,530,4319,2468,309,4,112,23,139
131300,Photo,1,7,6,2,0,3384,6166,451,395,561,4708,2508,344,2,101,25,128
130791,Photo,2,7,5,11,1,4096,7200,487,406,723,4911,2826,355,10,145,31,186
130791,Photo,3,7,5,3,0,19968,35161,1016,592,909,26701,14792,757,6,535,83,624
130791,Photo,1,7,4,11,0,4892,8499,536,460,721,7389,4206,428,4,118,22,144
130791,Status,2,7,4,6,0,17360,33613,2573,2448,6017,23338,11800,1905,9,484,79,572
130791,Video,1,7,3,11,1,21872,40413,3872,3822,7327,24667,12920,2218,18,315,76,409
130791,Photo,2,7,3,5,1,180480,319133,8072,4010,6242,108752,51456,3316,372,5172,790,6334
130791,Photo,1,7,2,13,0,44464,66824,1052,930,1571,22904,14080,559,4,154,30,188
130791,Photo,2,7,2,8,0,2881,5188,550,503,730,3840,2040,323,0,73,15,88
129600,Photo,2,7,1,12,0,3460,6503,541,482,667,4371,2260,314,0,96,19,115
129600,Photo,3,7,1,6,0,3406,5656,571,512,731,4446,2598,355,1,98,19,118
129600,Photo,2,7,7,11,1,2602,4349,479,444,588,3342,1946,287,1,53,14,68
129600,Photo,1,7,7,6,1,5848,9068,622,570,795,6651,4212,383,4,71,10,85
129600,Photo,1,7,6,11,0,26944,43464,877,740,1097,20270,10208,563,6,194,34,234
129600,Photo,3,7,6,5,0,5292,9321,756,646,1033,5867,3404,516,6,226,42,274
129600,Status,2,7,5,12,1,15576,27513,2417,2327,3098,19078,10840,1839,11,238,51,300
129600,Photo,3,7,5,3,0,54256,82011,1620,963,1419,42128,24224,977,10,755,58,823
129600,Photo,2,7,4,12,1,3726,6372,602,574,785,4760,2852,399,30,47,8,85
129600,Photo,1,7,4,6,1,31904,50539,863,770,1106,24010,12992,583,2,126,32,160
129600,Photo,1,7,3,13,1,40336,65309,1407,1330,2251,27771,14848,907,4,104,10,118
129600,Photo,2,7,3,1,0,4220,7774,685,597,838,4404,2326,407,10,167,26,203
129600,Photo,3,7,2,13,0,4666,8360,729,648,1014,5010,2818,459,9,152,41,202
129600,Photo,2,7,2,7,1,4274,7948,701,638,1020,5936,3164,460,0,128,15,143
129600,Photo,1,7,1,13,0,28208,41650,964,827,1237,18035,11120,636,13,234,43,290
128032,Photo,2,7,1,3,0,3330,5461,513,478,652,3675,2196,307,2,61,16,79
128032,Photo,2,7,7,11,1,3528,5918,550,513,787,4606,2660,360,0,66,9,75
128032,Photo,3,7,7,3,0,38576,55398,1355,890,1328,17365,12624,827,7,529,60,596
128032,Photo,3,7,6,13,1,2628,4264,528,503,652,3086,1846,328,3,42,10,55
128032,Photo,1,7,6,3,0,7232,12735,758,700,1236,8855,4712,471,2,75,24,101
128032,Status,2,7,5,10,0,10188,16978,1473,1441,2136,14450,8536,1395,13,61,13,87
128032,Photo,1,7,5,3,0,6408,11881,909,861,14974,7243,4040,490,26,162,7,195
128032,Photo,1,7,4,9,1,3414,6050,515,493,710,5005,2704,340,2,47,4,53
128032,Photo,2,7,4,5,1,53056,65260,2003,1412,2089,23679,17104,975,6,696,28,730
128032,Photo,1,7,3,10,1,66976,111502,1191,1054,1641,40203,19968,708,7,215,47,269
